_id,Id,ISBN,Bookshelf,Tags,Wishlist,Pages_Read,Read,Rating,Signed,Copies,Title,Language,Categories,Authors,Translators,Publisher,Pages,Published_At,Format,Description,Date_added,Started,Ended,Series,Volume,Subtitle,Short_note,Editors,Illustrators
66bde628e86033ccbc2409df,678096,9780876858639,Poetry,,0,408,1,,0,1,The Last Night of the Earth Poems,en,"POETRY/General,POETRY/American / General,POETRY/Subjects & Themes / General",Charles Bukowski,,Ecco,408,2002-06-05T00:00:00.000Z,paperback,"Poems deal with writing, death and immortality, literature, city life, illness, war, and the past.",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e0,22536,9781785656477,English Books," ✌🐝 🟥,Crime Mystry Novels",0,0,0,,0,1,If We Were Villains,en,"Crime,Thrillers",M. L. Rio,,Titan Books Ltd,432,2017-01-01T00:00:00.000Z,paperback,"Oliver Marks has just served ten years for a murder he may or may not have committed. On the day of his release, he is greeted by the detective who put him in prison. Detective Colborne is retiring, and he wants to know what really happened a decade before.\n\nAs a young actor at an elite conservatory, Oliver noticed that his talented classmates seem to play the same characters onstage and off – villain, hero, temptress – though he was always a supporting role. But when the teachers change the casting, a good-natured rivalry turns ugly, and the plays spill dangerously over into real life.\n\nWhen tragedy strikes, one of the seven friends is found dead. The rest face their greatest acting challenge yet: convincing the police, and themselves, that they are blameless...",2021-12-18T00:00:00.000Z,,,,,If We Were Villains,,,
66bde628e86033ccbc2409e1,88083,9781250183507,YA-Fantasy Books ," ✌🐝 🟥,Fantasy",0,0,0,,0,1,"Vicious (Villains, #1)",en,"Science Fiction,Fantasy",V E Schwab,,Tor Books,384,2018-05-29T00:00:00.000Z,paperback,"Victor and Eli started out as college roommates--brilliant, arrogant, lonely boys who recognized the same sharpness and ambition in each other. In their senior year, a shared research interest in adrenaline, near-death experiences, and seemingly supernatural events reveals an intriguing possibility: that under the right conditions, someone could develop extraordinary abilities. But when their thesis moves from the academic to the experimental, things go horribly wrong.\n\nTen years later, Victor breaks out of prison, determined to catch up to his old friend (now foe), aided by a young girl whose reserved nature obscures a stunning ability. Meanwhile, Eli is on a mission to eradicate every other super-powered person that he can find--aside from his sidekick, an enigmatic woman with an unbreakable will. Armed with terrible power on both sides, driven by the memory of betrayal and loss, the archnemeses have set a course for revenge--but who will be left alive at the end?\n\nIn Vicious, V. E. Schwab brings to life a gritty comic-book-style world in vivid prose: a world where gaining superpowers doesn't automatically lead to heroism, and a time when allegiances are called into question.",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e2,3738216,9781786332035,YA-Fantasy Books ,"Contemporary, ✌🐝 🟥",0,0,0,,0,1,The Intoxicating Mr Lavelle,en,"Historical Romance,Historical Fiction",Neil Blackmore,,Cornerstone,320,2020-08-13T00:00:00.000Z,paperback,"Your brother takes me for a barbarian, Mr Bowen. But I assure you, I’m quite well trained.'\n\nWhen Benjamin and Edgar Bowen embark on a Grand Tour of Europe, they are ready to meet People of Quality. They have trunks full of powdered silver wigs and matching suits, a hunger to experience the architectural wonders of Ancient Rome and an ability to quote Voltaire (at length). They will make connections and establish themselves in high society, just as their mother has planned.\n\nBut it soon becomes apparent that their outfits are not quite the right shade of grey, their smiles are too ready, their appreciation of the arts ridiculous. Class, they learn, is not something that can be studied.\n\nBenjamin’s true education begins when he meets Horace Lavelle. Beautiful, charismatic, seductive, Lavelle delights in skewering the pretensions and prejudices of their milieu. He consumes Benjamin’s every thought.\n\nLove can transform a person. Can it save them?",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e3,3738224,9780241436240,German Novels,Literary Classics,0,272,1,3,0,1,Metamorphosis and Other Stories,en,"Fiction,Classics,Short Stories (single author)",Franz Kafka,,Penguin Classic,272,2020-05-26T00:00:00.000Z,paperback,"This collection of new translations brings together the small proportion of Kafka's works that he himself thought worthy of publication. It includes Metamorphosis, his most famous work, an exploration of horrific transformation and alienation; Meditation, a collection of his earlier studies; The Judgement, written in a single night of frenzied creativity; The Stoker, the first chapter of a novel set in America and a fascinating occasional piece, and The Aeroplanes at Brescia, Kafka's eyewitness account of an air display in 1909. Together, these stories reveal the breadth of Kafka's literary vision and the extraordinary imaginative depth of his thought.",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e4,6426,9780099282877,English Books,Contemporary,0,4,0,,0,1,"The Talented Mr. Ripley (Ripley, #1)",en,"Contemporary Fiction,Crime,Thrillers",Patricia Highsmith,,Vintage Books,258,1999-01-01T00:00:00.000Z,paperback,"Since his debut in 1955, Tom Ripley has evolved into the ultimate bad boy sociopath, influencing countless novelists and filmmakers. In this first novel, we are introduced to suave, handsome Tom Ripley: a young striver, newly arrived in the heady world of Manhattan in the 1950s. A product of a broken home, branded a ""sissy"" by his dismissive Aunt Dottie, Ripley becomes enamored of the moneyed world of his new friend, Dickie Greenleaf. This fondness turns obsessive when Ripley is sent to Italy to bring back his libertine pal but grows enraged by Dickie's ambivalent feelings for Marge, a charming American dilettante. A dark reworking of Henry James's The Ambassadors, The Talented Mr. Ripley—is up to his tricks in a 90s film and also Rene Clement's 60s film, ""Purple Noon.""",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e5,509667,9780735220188,English Books,"Fantasy, ✌🐝 🟥",0,0,0,,0,1,"Black Leopard, Red Wolf",en,"Historical,Epic Fantasy,Epic",Marlon James,,Riverhead Books,640,2020-02-04T00:00:00.000Z,paperback,"Winner of the L.A. Times Ray Bradbury Prize\n\nFinalist for the 2019 National Book Award\n\nThe New York Times Bestseller \n\nNamed a Best Book of 2019 by The Wall Street Journal, TIME, NPR, GQ, Vogue, and The Washington Post\n\n""A fantasy world as well-realized as anything Tolkien made."" --Neil Gaiman \n\n""Gripping, action-packed....The literary equivalent of a Marvel Comics universe."" --Michiko Kakutani, The New York Times \n\nThe epic novel, an African Game of Thrones, from the Man Booker Prize-winning author of A Brief History of Seven Killings \n\nIn the stunning first novel in Marlon James's Dark Star trilogy, myth, fantasy, and history come together to explore what happens when a mercenary is hired to find a missing child.\n\nTracker is known far and wide for his skills as a hunter: ""He has a nose,"" people say. Engaged to track down a mysterious boy who disappeared three years earlier, Tracker breaks his own rule of always working alone when he finds himself part of a group that comes together to search for the boy. The band is a hodgepodge, full of unusual characters with secrets of their own, including a shape-shifting man-animal known as Leopard. \n\nAs Tracker follows the boy's scent--from one ancient city to another; into dense forests and across deep rivers--he and the band are set upon by creatures intent on destroying them. As he struggles to survive, Tracker starts to wonder: Who, really, is this boy? Why has he been missing for so long? Why do so many people want to keep Tr...",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e6,14375,9781250107138,YA-Fantasy Books ,"🐷🔙⬆️,Romance",0,49,0,,0,1,The Love Interest,en,"General,Thrillers,Romance",Cale Dietrich,,Feiwel & Friends,377,2017-05-16T00:00:00.000Z,hardcover,"A thrilling YA debut about teen spies disguised as ""love interests""--whoever gets the girl lives; but the one she rejects, dies.\n\nThere is a secret organization that cultivates teenage spies. The agents are called Love Interests because getting close to people destined for great power means getting valuable secrets.\n\nCaden is a Nice: The boy next door, sculpted to physical perfection. \nDylan is a Bad: The brooding, dark-souled guy, and dangerously handsome.\n\nThe girl they are competing for is important to the organization, and each boy will pursue her. Will she choose a Nice or the Bad?\n\nBoth Caden and Dylan are living in the outside world for the first time. They are well-trained and at the top of their games. They have to be - whoever the girl doesn't choose will die.\n\nWhat the boys don't expect are feelings that are outside of their training. Feelings that could kill them both.\n\nFrom debut author Cale Dietrich comes a fast-paced adventure that is full of both action and romance and subverts common tropes.",2021-12-18T00:00:00.000Z,,,,,,,,
66bde628e86033ccbc2409e7,2215720,9781250173560,YA-Fantasy Books ," ✌🐝 🟥,The Amberlough Dossier",0,0,0,,0,1,"Armistice (The Amberlough Dossier, #2)",en,"Espionage,Political & Legal,Fantasy",Lara Elena Donnelly,,Tor Books,400,2018-05-15T00:00:00.000Z,paperback,"Armistice returns to Donnelly’s ravishing 1930s Art Deco-tinged fantasy world of Amberlough with a decadent, tumultuous mixture of sex, politics, and spies\n\nIn a tropical country where shadowy political affairs lurk behind the scenes of its glamorous film industry, three people maneuver inside a high stakes game of statecraft and espionage: \n\nLillian, a reluctant diplomat serving a fascist nation,\n\nAristide, an expatriate film director running from lost love and a criminal past,\n\n—and Cordelia, a former cabaret stripper turned legendary revolutionary. \n\nEach one harbors dangerous knowledge that can upturn a nation. When their fates collide, machinations are put into play, unexpected alliances are built, and long-held secrets are exposed. Everything is barreling towards an international revolt...and only the wiliest ones will be prepared for what comes next.\n\n At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2021-12-18T00:00:00.000Z,,,The Amberlough Dossier,2,Book 2 in the Amberlough Dossier,,,
66bde628e86033ccbc2409e8,733091,9780356507026,YA-Fantasy Books ,"🐷🔙⬆️,Fantasy",0,156,0,,0,1,The Raven Tower,en,"Science Fiction,Fantasy",Ann Leckie,,"Little, Brown Book Group",464,2019-10-03T00:00:00.000Z,paperback,"For centuries, the kingdom of Iraden has been protected by the god known as the Raven. He watches over his territory from atop a tower in the powerful port of Vastai. His will is enacted through the Raven's Lease, a human ruler chosen by the god himself. His magic is sustained via the blood sacrifice that every Lease must offer. And under the Raven's watch, the city flourishes. But the power of the Raven is weakening. A usurper has claimed the throne. The kingdom borders are tested by invaders who long for the prosperity that Vastai boasts. And they have made their own alliances with other gods. It is into this unrest that the warrior Eolo--aide to Mawat, the true Lease--arrives. And in seeking to help Mawat reclaim his city, Eolo discovers that the Raven's Tower holds a secret. Its foundations conceal a dark history that has been waiting to reveal itself... and to set in motion a chain of events that could destroy Iraden forever.",2021-12-18T00:00:00.000Z,,,,,,,,
